,episodeTitle,seasonIndex,episodeIndex,plot
1,A Distant Echo,7,2,"Believing that MIA soldier Echo may still be alive, Rex's mission becomes doubly important. Alongside Bad Batch and Anakin, the clone captain launches a dangerous covert rescue."
13,A Friend in Need,4,14,"Lux Bonteri disrupts a peace conference between Seperatist and Republic representatives on Mandalore. Intent on safeguarding him, Ahsoka becomes involved in Lux's plan to take revenge on Count Dooku for his mother's death."
8,A Necessary Bond,5,9,"General Grievous leads an attack on Hondo Ohnaka's base, forcing the pirates to form a temporary alliance with Ahsoka and the Jedi younglings."
10,A Sunny Day in the Void,5,11,"D-Squad has obtained their mission objective, but crash-land on a desolate planet after a run-in with comets."
6,A Test of Strength,5,7,"As the six younglings prepare to construct their lightsabers, their training vessel Crucible is attacked by Hondo Ohnaka and his pirates."
1,A War on Two Fronts,5,2,"By a request from Lux Bonteri, Anakin, Obi-Wan, Ahsoka and Rex travel to Onderon to help train a group of rebels so they can take back the capital city of Iziz from the Separatists."
1,ARC Troopers,3,2,"General Grievous and Asajj Ventress combine forces in an attack on Kamino. As Anakin and Obi-Wan rush to aid Tipoca City, the clones prepare to defend their home planet."
15,Altar of Mortis,3,16,"Before the Jedi can leave Mortis, the Son abducts Ahsoka and infects her with the dark side. While Anakin faces his Padawan, the Daughter reveals to Obi-Wan the only weapon that can defeat her brother: the Dagger of Mortis."
0,Ambush,1,1,"Yoda, along with three clone troopers, must face off against Asajj Ventress and her droid army while on a mission to a moon of Rugosa."
4,An Old Friend,6,5,"While on Scipio to fund a mercy mission, Senator Amidala is called upon by an old friend to help uncover corruption in the Banking Clan."
6,Assassin,3,7,Ahsoka receives visions about Aurra Sing attempting to assassinate Padm̩ Amidala and decides to accompany the Senator on a peace mission to Alderaan.
16,Blue Shadow Virus,1,17,"Evil scientist Dr. Nuvo Vindi is recreating the dreaded Blue Shadow Virus in his secret underground lab on Naboo. When he captures Senator Amidala and Jar Jar Binks, Anakin and Obi-Wan mount a rescue operation."
7,Bombad Jedi,1,8,"Padm̩ travels to Rodia to meet with old family friend Onaconda Farr about the lack of food rations. Unfortunately Farr has just made a deal with the Separatists. Padm̩ is imprisoned, leaving it up to Jar Jar Binks and C-3PO to rescue her."
7,Bound for Rescue,5,8,"Hondo has failed to capture the Kaiburr crystals, but does hold Ahsoka as a prisoner. The younglings form a plan to infiltrate the pirate hideout on Florrum."
19,Bounty,4,20,Asajj Ventress joins a group of bounty hunters led by Boba Fett. Their mission is to deliver a box with unknown cargo to the leader of the planet Quarzite.
16,Bounty Hunters,2,17,"Obi-Wan, Anakin and Ahsoka crash land on Felucia and reluctantly join four bounty hunters in defending a village from Hondo Ohnaka's pirate gang."
7,Brain Invaders,2,8,"Ahsoka, Barris and Tango Company board a supply ship to a station near Ord Cestus. But one of the troopers has been infected by a Geonosian brain worm and has taken along a nest full of worm eggs to submit the others."
20,Brothers,4,21,"The search for his long lost brother, Darth Maul, leads Savage Opress to the junk planet of Lotho Minor."
1,Cargo of Doom,2,2,"With Anakin and Ahsoka in pursuit, Cad Bane seeks the last piece to unlock the holocron he stole for Darth Sidious."
9,Carnage of Krell,4,10,Rex and the 501st troopers refuse to execute Fives and Jesse for their insubordination. They are in for even bigger shock when General Krell orders another offensive.
15,Cat and Mouse,2,16,"Anakin is tasked to fly a prototypical cloaked ship to get supplies to Bail Organa on Christophsis, but can't resist an urge to attack a blockade headed by the infamous Admiral Trench."
2,Children of the Force,2,3,"With the information from the stolen holocron, Darth Sidious orders Cad Bane to kidnap several Force-sensitive children for his scheme."
19,Citadel Rescue,3,20,Masters Plo Koon and Saesee Tiin head a desperate rescue operation to get the survivors of the Citadel infiltration mission and the information they carry.
8,Cloak of Darkness,1,9,"Ahsoka and Master Luminara escort captured Nute Gunray to trial, unaware that Count Dooku has dispatched his deadly apprentice Asajj Ventress to free the prisoner and eliminate the Jedi."
0,Clone Cadets,3,1,"Unless they want to flunk out, the clones of Domino Squad must learn to work together during their training on Kamino."
1,Conspiracy,6,2,"Clone trooper Tup is undergoing a medical examination in the sterile laboratories of Kamino to find the motives for his shocking attack on the Jedi Master. For the examination to succeed, trooper Fives must enter the depth of Tup's mind."
4,Corruption,3,5,When Padm̩ visits Mandalore on a diplomatic mission she finds herself investigating an outbreak of a mysterious illness at a school with Duchess Satine.
18,Counter Attack,3,19,The Jedi and their troops have split up to safeguard the vital information but find that getting out of the Citadel is even harder than getting in.
6,Crisis at the Heart,6,7,"After making a deal with Count Dooku to resuscitate the ailing Banking Clan, Clovis finds himself as a pawn in Dooku's designs."
17,Crisis on Naboo,4,18,"Cad Bane leads Dooku's team of bounty hunters, including a disguised Obi-Wan, in a plot to kidnap the Supreme Chancellor during the Festival of Lights on Naboo."
6,Dangerous Debt,7,7,"Taken prisoner by the Pykes, Ahsoka and the Martez sisters attempt to escape."
6,Darkness on Umbara,4,7,"During an assault on the shadowy world of Umbara, General Skywalker is called back to Coruscant. He has to relinquish command of the 501st legion to legendary Jedi Master Krell, who turns out to have a low opinion of clones."
5,Deal No Deal,7,6,"Ahsoka, Trace and Rafa are hired to deliver some spice, but things soon get complicated."
19,Death Trap,2,20,"Determined to have his revenge on Mace Windu, Boba Fett infiltrates Jedi cruiser Endurance as part of a group of young clone cadets."
14,Deception,4,15,"Obi-Wan fakes his own death and goes undercover as his own 'killer', Rako Hardeen, so he can infiltrate Moralo Eval's plot to kidnap Chancellor Palpatine."
13,Defenders of Peace,1,14,"While the Jedi combat a new Separatist weapon, the pacifist Lurmen must decide whether they will surrender or fight with Anakin, Ahsoka and Aayla Secura."
11,Destiny,6,12,"Letting the Force guide him, Yoda voyages into the heart of the galaxy to an ancient world that is one of the wellsprings of the Force and the source of midi-chlorians."
3,Destroy Malevolence,1,4,Padm̩ Amidala and C-3PO are taken hostage by Grievous aboard the Malevolence. Anakin and Obi-Wan board the ship to rescue the senator and her protocol droid.
10,Dooku Captured,1,11,"During their own attempt to kidnap Count Dooku, Anakin and Obi-Wan discover that the Sith Lord has already been captured by pirates."
5,Downfall of a Droid,1,6,Anakin must find the missing R2-D2 before the Separatists discover the Jedi military secrets locked in his memory banks.
13,Duchess of Mandalore,2,14,"On Coruscant, word reaches Duchess Satine that Death Watch is mobilizing, sparking a preemptive Republic invasion. On the run from Republic authorities, Satine and Obi-Wan set off to discover the group's true motives."
6,Duel of the Droids,1,7,"Anakin, Ahsoka and replacement droid R3-S6 embark on a dual rescue/sabotage mission when they discover R2-D2 is being held at General Grievous' secret enemy listening post."
13,Eminence,5,14,Darth Maul and Savage Opress join forces with the Death Watch and together they recruit the Black Sun and Hutt crime lords to form the Shadow Collective.
12,Escape from Kadavo,4,13,"While Obi-Wan and Rex are forced to work at the Kadavo slave camps, Count Dooku arrives at Zygerria and demands the execution of the captured Jedi."
7,Evil Plans,3,8,C-3PO and R2-D2 are tasked to get some Jogan fruit for a reception honoring Roonan Senator Aang. But the droids are targeted by bounty hunter Cad Bane who wants to extract information regarding the Senate from their data banks.
15,Friends and Enemies,4,16,"Disguised as Bounty Hunter Rako Hardeen, Obi-Wan Kenobi is on the run with criminal mastermind Moralo Eval and Cad Bane. But their partnership is on thin ice and Anakin and Ahsoka are in hot pursuit."
2,Front Runners,5,3,The Jedi and Rex return to Coruscant and leave Ahsoka in charge of supervising the Onderon Rebels as they carry out a series of strikes in the capital.
2,Fugitive,6,3,"Tup's body is transported back to Coruscant where it is to be examined by the Chancellor's personal physician, while Fives furtively investigates his death with the help of a droid."
16,Ghosts of Mortis,3,17,The Son shows Anakin a vision of the future to sway him to his side. Obi-Wan and Ahsoka must make sure the Son does not leave Mortis aboard their Jedi shuttle.
4,Gone with a Trace,7,5,"After leaving the Jedi Order, Ahsoka finds herself in the underworld of Coruscant where she meets aspiring pilot, Trace Martez. Enlisted by Trace's sister, Rafa, to help build dangerous droids, Ahsoka opts to keep her Jedi past a secret."
8,Grievous Intrigue,2,9,"Master Eeth Koth has tracked down General Grievous, but is soon captured and tortured as an example to the Jedi. Obi-Wan, Anakin and Adi Gallia mount a rescue attempt, unaware that Grievous is expecting them to do just that."
1,Gungan Attack,4,2,The Mon Cal and Jedi are in hiding beneath the underwater capital city of Mon Cal. The Jedi Council calls on the help of the Gungan army led by Jar Jar Binks.
9,Heroes on Both Sides,3,10,"Padm̩ visits her old mentor Mina Bonteri, who has chosen the side of the Separatists but is urging for peace talks. But the Banking Clan and several corrupt senators conspire against this initiative."
0,Holocron Heist,2,1,Darth Sidious commissions a bounty hunter to break into the Jedi Temple Archives.
21,Hostage Crisis,1,22,"To free crime lord Ziro the Hutt, bounty hunters seize control of the Senate Building and take hostages, unaware that Anakin Skywalker is still inside."
8,Hunt for Ziro,3,9,"Obi-Wan Kenobi and Quinlan Vos are assigned to retrieve Ziro the Hutt after his escape from prison. But Ziro is instantly put on trial by the five Hutt families on Nal Hutta, where his only ally may be an old lover."
19,Innocents of Ryloth,1,20,"To sabotage a powerful Separatist weapon, Obi-Wan and a small clone force enter an occupied town, and discover that its residents are being used as a living shield."
12,Jedi Crash,1,13,"Anakin is injured while rescuing Aayla Secura from Super Battle Droids equipped with rocket packs. Ahsoka crash-lands their shuttle on the neutral planet of Maridun, where the native Lurmen villagers refuse to takes sides in the war."
10,Kidnapped,4,11,"The Separatists support Zygerrian slavers in taking over a Togruta colony on the neutral planet Kiros. Anakin and Ahsoka race to defuse a series of bombs, while Obi-Wan faces the Zygerrian leader, Darts D'Nar."
9,Lair of Grievous,1,10,General Grievous must prove himself worthy of the Separatists when Count Dooku leads Kit Fisto and his former Padawan to Grievous' villainous enclave.
4,Landing at Point Rain,2,5,"Anakin, Ahsoka, Obi-Wan and Ki-Adi-Mundi lead a landing party to destroy a droid factory on Geonosis."
6,Legacy of Terror,2,7,"Luminara Unduli disappears during a sandstorm while following Poggle the Lesser. When Anakin and Obi-Wan track her to an ancient temple, they are attacked by undead Geonosian warriors."
21,Lethal Trackdown,2,22,"Boba Fett and Aurra Sing are using hostages to force Mace Windu to face them. With Mace and Anakin still recovering, Plo Koon and Ahsoka Tano track down the bounty hunters."
20,Liberty on Ryloth,1,21,Mace Windu and his clone troopers aim to liberate the Ryloth capitol of Lessu but needs to acquire the help of a Twi'lek resistance group led by Cham Syndulla in order to do so.
10,Lightsaber Lost,2,11,"During a mission in the underworld of Coruscant, a pickpocket steals Ahsoka's lightsaber. Too ashamed to tell Anakin, she sets out to look for the thief alone, but gets help from Tera Sinube, an ancient Jedi Master."
18,Massacre,4,19,Asajj Ventress returns to Dathomir to become a true Nightsister. But then Count Dooku orders General Grievous to wipe out Mother Talzin and her entire clan of witches.
4,Mercy Mission,4,5,Commander Wolffe and his men aid the Aleena whose planet has recently suffered terrible quakes. Translator droid C-3PO and his counterpart R2-D2 find the natives need them to fulfill a special task.
11,Missing in Action,5,12,Colonel Gascon and the five droids of D-Squad have arrived at the remote town of Pons Ora on the planet Abafar and find a clone commando suffering from amnesia.
12,Monster,3,13,"Count Dooku accepts Mother Talzin's offer to present him with a warrior from the same tribe as Darth Maul. However, Talzin and Asajj Ventress pick and train the warrior and use Nightsister magic to bend him to their will."
